word1,type,len,pos1,stemmed1,priorpolarity
ambitious,weaksubj,1,adj,n,positive
ambitious,weaksubj,1,noun,n,positive
ambitiously,weaksubj,1,anypos,y,positive
ambivalence,strongsubj,1,anypos,y,negative
ambivalent,strongsubj,1,adj,n,negative
ambivalent,strongsubj,1,noun,n,negative
ambush,weaksubj,1,noun,n,negative
ambush,weaksubj,1,verb,y,negative
ameliorate,strongsubj,1,verb,y,positive
amenable,strongsubj,1,adj,n,positive
amenity,weaksubj,1,noun,n,positive
amiability,strongsubj,1,noun,n,positive
amiabily,strongsubj,1,adverb,n,positive
amiable,strongsubj,1,adj,n,positive
amicability,strongsubj,1,noun,n,positive
amicable,strongsubj,1,adj,n,positive
amicably,strongsubj,1,adverb,n,positive
amiss,strongsubj,1,anypos,n,negative
amity,weaksubj,1,adj,n,positive
amity,weaksubj,1,noun,n,positive
amnesty,weaksubj,1,noun,n,positive
amour,strongsubj,1,noun,n,positive
ample,weaksubj,1,adj,n,positive
amply,weaksubj,1,adverb,n,positive
amplify,weaksubj,1,verb,y,neutral
amputate,weaksubj,1,verb,y,negative
amuse,strongsubj,1,verb,y,positive
amusement,strongsubj,1,adj,n,positive
amusement,strongsubj,1,noun,n,positive
amusing,strongsubj,1,adj,n,positive
amusing,strongsubj,1,anypos,y,positive
amusingly,strongsubj,1,anypos,y,positive
analytical,weaksubj,1,adj,n,neutral
anarchism,strongsubj,1,noun,n,negative
anarchist,strongsubj,1,noun,n,negative
anarchistic,strongsubj,1,adj,n,negative
anarchy,strongsubj,1,noun,n,negative
anemic,weaksubj,1,adj,n,negative
angel,weaksubj,1,noun,n,positive
angelic,strongsubj,1,adj,n,positive
anger,strongsubj,1,adj,n,negative
anger,strongsubj,1,noun,n,negative
anger,strongsubj,1,verb,y,negative
angrily,strongsubj,1,anypos,y,negative
angriness,strongsubj,1,anypos,y,negative
angry,strongsubj,1,adj,n,negative
anguish,strongsubj,1,noun,n,negative
anguish,strongsubj,1,verb,y,negative
annihilate,strongsubj,1,verb,y,negative
annihilation,strongsubj,1,noun,n,negative
animated,weaksubj,1,adj,n,positive
animosity,strongsubj,1,noun,n,negative
annoy,strongsubj,1,verb,y,negative
annoyance,strongsubj,1,noun,n,negative
annoyed,strongsubj,1,adj,n,negative
annoying,strongsubj,1,adj,n,negative
annoying,strongsubj,1,anypos,y,negative
annoyingly,strongsubj,1,anypos,n,negative
anomalous,weaksubj,1,adj,n,negative
anomaly,weaksubj,1,noun,n,negative
antagonism,strongsubj,1,noun,n,negative
antagonist,weaksubj,1,noun,n,negative
antagonistic,strongsubj,1,adj,n,negative
antagonize,strongsubj,1,verb,y,negative
anti,strongsubj,1, noun,n,negative
anti,strongsubj,1,American,adj,n negative
anti,strongsubj,1,American,noun,n negative
anti,strongsubj,1,Israeli,adj,n negative
anti,strongsubj,1,Israeli,noun,n negative
anti,strongsubj,1,Semites,adj,n negative
anti,strongsubj,1,Semites,noun,n negative
anti,strongsubj,1,US,adj,n negative
anti,strongsubj,1,US,noun,n negative
anti,strongsubj,1,occupation,adj,n negative
anti,strongsubj,1,occupation,noun,n negative
anti,strongsubj,1,proliferation,adj,n negative
anti,strongsubj,1,proliferation,noun,n negative
anti,strongsubj,1,social,adj,n negative
anti,strongsubj,1,white,adj,n negative
anti,strongsubj,1,white,noun,n negative
antipathy,strongsubj,1,noun,n,negative
antiquated,strongsubj,1,adj,n,negative
antithetical,strongsubj,1,adj,n,negative
antithetical,strongsubj,1,noun,n,negative
anxieties,strongsubj,1,noun,n,negative
anxiety,strongsubj,1,noun,n,negative
anxious,strongsubj,1,anypos,n,negative
anxiously,strongsubj,1,anypos,n,negative
anxiousness,strongsubj,1,noun,n,negative
anyhow,strongsubj,1,anypos,y,neutral
anyway,strongsubj,1,anypos,y,neutral
anyways,strongsubj,1,anypos,y,neutral
apathetic,strongsubj,1,adj,n,negative
apathetic,strongsubj,1,noun,n,negative
apathetically,strongsubj,1,adverb,n,negative
apathy,strongsubj,1,noun,n,negative
ape,strongsubj,1,verb,y,negative
apocalypse,strongsubj,1,noun,n,negative
apocalyptic,strongsubj,1,adj,n,negative
apologist,strongsubj,1,adj,n,negative
apologist,strongsubj,1,noun,n,negative
apologists,strongsubj,1,adj,n,negative
apologists,strongsubj,1,noun,n,negative
apostle,strongsubj,1,adj,n,positive
apostle,strongsubj,1,noun,n,positive
apotheosis,strongsubj,1,adj,n,positive
apotheosis,strongsubj,1,noun,n,positive
appal,strongsubj,1,verb,y,negative
appall,strongsubj,1,adj,n,negative
appall,strongsubj,1,anypos,y,negative
appall,strongsubj,1,verb,y,negative
appalled,strongsubj,1,adj,n,negative
appalling,strongsubj,1,adj,n,negative
appallingly,strongsubj,1,anypos,n,negative
apparent,weaksubj,1,anypos,y,neutral
apparently,weaksubj,1,anypos,y,neutral
appeal,weaksubj,1,adj,n,positive
appeal,weaksubj,1,noun,n,positive
appeal,weaksubj,1,verb,y,positive
appealing,strongsubj,1,adj,n,positive
appear,weaksubj,1,anypos,y,neutral
appearance,weaksubj,1,adj,n,neutral
appearance,weaksubj,1,noun,n,neutral
appease,weaksubj,1,verb,y,positive
applaud,strongsubj,1,verb,y,positive
appreciable,weaksubj,1,adj,n,positive
appreciate,strongsubj,1,verb,y,positive
appreciation,strongsubj,1,adj,n,positive
appreciation,strongsubj,1,noun,n,positive
appreciative,strongsubj,1,anypos,n,positive
appreciatively,strongsubj,1,anypos,y,positive
appreciativeness,strongsubj,1,anypos,y,positive
apprehend,weaksubj,1,verb,y,neutral
apprehension,strongsubj,1,noun,n,negative
apprehensions,strongsubj,1,adj,n,negative
apprehensions,strongsubj,1,noun,n,negative
apprehensive,strongsubj,1,adj,n,negative
apprehensive,strongsubj,1,noun,n,negative
apprehensively,strongsubj,1,anypos,y,negative
appropriate,weaksubj,1,adj,n,positive
approval,weaksubj,1,noun,n,positive
approve,weaksubj,1,verb,y,positive
apt,weaksubj,1,adj,n,positive
aptly,weaksubj,1,adverb,n,positive
aptitude,weaksubj,1,noun,n,positive
arbitrary,strongsubj,1,adj,n,negative
arcane,strongsubj,1,adj,n,negative
archaic,strongsubj,1,adj,n,negative
ardent,strongsubj,1,adj,n,positive
ardently,strongsubj,1,anypos,n,positive
ardor,strongsubj,1,noun,n,positive
arduous,strongsubj,1,adj,n,negative
arduously,strongsubj,1,anypos,n,negative
aristocratic,weaksubj,1,adj,n,positive
argue,strongsubj,1,verb,y,negative
argument,weaksubj,1,adj,n,negative
argument,weaksubj,1,noun,n,negative
argumentative,strongsubj,1,anypos,y,negative
arguments,weaksubj,1,adj,n,negative
arguments,weaksubj,1,noun,n,negative
arousal,strongsubj,1,anypos,y,positive
arouse,strongsubj,1,verb,y,positive
arousing,strongsubj,1,anypos,y,positive
arresting,strongsubj,1,adj,n,positive
arrogance,strongsubj,1,noun,n,negative
arrogant,strongsubj,1,adj,n,negative
arrogant,strongsubj,1,anypos,y,negative
arrogantly,strongsubj,1,anypos,n,negative
arrogantly,strongsubj,1,anypos,y,negative
articulate,strongsubj,1,adj,n,positive
artificial,weaksubj,1,adj,n,negative
ascendant,strongsubj,1,adj,n,positive
ascendant,strongsubj,1,noun,n,positive
ascertainable,strongsubj,1,adj,n,positive
ascertainable,strongsubj,1,noun,n,positive
ashamed,strongsubj,1,adj,n,negative
asinine,strongsubj,1,adj,n,negative
asininely,strongsubj,1,adverb,n,negative
asinininity,strongsubj,1,noun,n,negative
askance,strongsubj,1,adverb,n,negative
asperse,strongsubj,1,verb,y,negative
aspersion,strongsubj,1,noun,n,negative
aspersions,strongsubj,1,noun,n,negative
aspiration,strongsubj,1,noun,n,positive
aspirations,strongsubj,1,adj,n,positive
aspirations,strongsubj,1,noun,n,positive
aspire,strongsubj,1,verb,y,positive
assail,weaksubj,1,verb,y,negative
assassinate,weaksubj,1,verb,y,negative
assassin,strongsubj,1,noun,n,negative
assault,weaksubj,1,adj,n,negative
assault,weaksubj,1,noun,n,negative
assent,strongsubj,1,verb,y,positive
assertions,strongsubj,1,adj,n,positive
assertions,strongsubj,1,noun,n,positive
assertive,weaksubj,1,adj,n,positive
assess,strongsubj,1,verb,y,neutral
assessment,weaksubj,1,adj,n,neutral
assessment,weaksubj,1,noun,n,neutral
assessments,weaksubj,1,adj,n,neutral
assessments,weaksubj,1,noun,n,neutral
asset,weaksubj,1,noun,n,positive
assiduous,strongsubj,1,adj,n,positive
assiduously,strongsubj,1,adverb,n,positive
assuage,weaksubj,1,verb,y,positive
assumption,weaksubj,1,adj,n,neutral
assumption,weaksubj,1,noun,n,neutral
assurance,weaksubj,1,adj,n,positive
assurance,weaksubj,1,noun,n,positive
assurances,weaksubj,1,adj,n,positive
assurances,weaksubj,1,noun,n,positive
assure,strongsubj,1,verb,y,positive
assuredly,strongsubj,1,anypos,n,positive
astonish,strongsubj,1,verb,y,positive
astonished,strongsubj,1,adj,n,positive
astonishing,strongsubj,1,adj,n,positive
astonishing,strongsubj,1,anypos,y,positive
astonishingly,strongsubj,1,anypos,n,positive
astonishment,strongsubj,1,noun,n,positive
astound,strongsubj,1,verb,y,positive
astounded,strongsubj,1,adj,n,positive
astounding,strongsubj,1,adj,n,positive
astounding,strongsubj,1,anypos,n,positive
astounding,strongsubj,1,anypos,y,positive
astoundingly,strongsubj,1,anypos,n,positive
astray,weaksubj,1,adj,n,negative
astronomic,strongsubj,1,adj,n,neutral
astronomical,strongsubj,1,adj,n,neutral
astronomically,strongsubj,1,anypos,n,neutral
astute,strongsubj,1,adj,n,positive
astutely,strongsubj,1,adverb,n,positive
asunder,strongsubj,1,anypos,n,negative
asylum,weaksubj,1,adj,n,positive
asylum,weaksubj,1,noun,n,positive
atrocious,strongsubj,1,adj,n,negative
atrocities,strongsubj,1,noun,n,negative
atrocity,strongsubj,1,noun,n,negative
atrophy,strongsubj,1,verb,y,negative
attack,weaksubj,1,noun,n,negative
attack,weaksubj,1,verb,y,negative
attain,weaksubj,1,verb,y,positive
attainable,weaksubj,1,adj,n,positive
attentive,strongsubj,1,adj,n,positive
attest,strongsubj,1,verb,y,positive
attitude,strongsubj,1,adj,n,neutral
attitude,strongsubj,1,noun,n,neutral
attitudes,weaksubj,1,adj,n,neutral
attitudes,weaksubj,1,noun,n,neutral
attraction,strongsubj,1,adj,n,positive
attraction,strongsubj,1,noun,n,positive
attractive,strongsubj,1,adj,n,positive
attractive,strongsubj,1,noun,n,positive
attractively,strongsubj,1,anypos,y,positive
attune,weaksubj,1,adj,n,positive
audacious,strongsubj,1,adj,n,negative
audaciously,strongsubj,1,anypos,n,negative
audaciousness,strongsubj,1,noun,n,negative
audacity,strongsubj,1,noun,n,negative
auspicious,strongsubj,1,adj,n,positive
austere,strongsubj,1,adj,n,negative
authentic,weaksubj,1,adj,n,positive
authoritarian,weaksubj,1,adj,n,negative
authoritative,weaksubj,1,adj,n,positive
autocrat,strongsubj,1,noun,n,negative
autocratic,strongsubj,1,adj,n,negative
award,weaksubj,1,adj,n,positive
award,weaksubj,1,verb,y,positive
awareness,strongsubj,1,noun,n,neutral
aware,strongsubj,1,adj,n,neutral
autocratic,strongsubj,1,adj,n,negative
autocratic,strongsubj,1,noun,n,negative
autonomous,weaksubj,1,adj,n,positive
avalanche,strongsubj,1,adj,n,negative
avalanche,strongsubj,1,noun,n,negative
avarice,strongsubj,1,noun,n,negative
avaricious,strongsubj,1,adj,n,negative
avariciously,strongsubj,1,adj,n,negative
avenge,strongsubj,1,verb,y,negative
aver,strongsubj,1,verb,y,positive
averse,strongsubj,1,anypos,n,negative
aversion,strongsubj,1,noun,n,negative
avid,strongsubj,1,adj,n,positive
avidly,strongsubj,1,anypos,n,positive
avoid,weaksubj,1,verb,y,negative
avoidance,weaksubj,1,noun,n,negative
awe,strongsubj,1,noun,n,positive
awe,strongsubj,1,verb,y,positive
awed,strongsubj,1,adj,n,positive
awesome,strongsubj,1,adj,n,positive
awesome,strongsubj,1,anypos,y,positive
awesomely,strongsubj,1,anypos,n,positive
awesomeness,strongsubj,1,noun,n,positive
awestruck,strongsubj,1,adj,n,positive
awful,strongsubj,1,adj,n,negative
awful,strongsubj,1,anypos,n,negative
awfully,strongsubj,1,anypos,n,negative
awfulness,strongsubj,1,anypos,y,negative
awfulness,strongsubj,1,noun,n,negative
awkward,strongsubj,1,adj,n,negative
awkwardness,strongsubj,1,noun,n,negative
ax,strongsubj,1,verb,y,negative
babble,strongsubj,1,verb,y,negative
baby,strongsubj,1,adj,n,neutral
baby,strongsubj,1,noun,n,neutral
back,weaksubj,1,verb,y,positive
backbite,strongsubj,1,verb,y,negative
backbiting,strongsubj,1,anypos,n,negative
backbone,weaksubj,1,noun,n,positive
backward,strongsubj,1,adj,n,negative
backwardness,strongsubj,1,noun,n,negative
bad,strongsubj,1,adj,n,negative
badly,strongsubj,1,adj,n,negative
baffle,strongsubj,1,verb,y,negative
baffled,strongsubj,1,adj,n,negative
bafflement,strongsubj,1,noun,n,negative
baffling,strongsubj,1,anypos,n,negative
bait,strongsubj,1,verb,y,negative
balanced,weaksubj,1,adj,n,positive
balk,strongsubj,1,verb,y,negative
banal,strongsubj,1,adj,n,negative
banal,strongsubj,1,anypos,y,negative
banalize,strongsubj,1,verb,y,negative
bane,strongsubj,1,noun,n,negative
banish,strongsubj,1,adj,n,negative
banish,strongsubj,1,verb,y,negative
banishment,strongsubj,1,noun,n,negative
bankrupt,weaksubj,1,adj,n,negative
bankrupt,weaksubj,1,verb,y,negative
bar,weaksubj,1,verb,y,negative
barbarian,strongsubj,1,adj,n,negative
barbarian,strongsubj,1,noun,n,negative
barbaric,strongsubj,1,adj,n,negative
barbarically,strongsubj,1,anypos,n,negative
barbarity,strongsubj,1,adj,n,negative
barbarity,strongsubj,1,noun,n,negative
barbarous,strongsubj,1,adj,n,negative
barbarous,strongsubj,1,anypos,y,negative
barbarously,strongsubj,1,anypos,n,negative
barely,weaksubj,1,anypos,y,negative
bargain,strongsubj,1,noun,n,positive
bargain,strongsubj,1,adj,n,positive
barren,strongsubj,1,adj,n,negative
baseless,strongsubj,1,adj,n,negative
bashful,strongsubj,1,adj,n,negative
basic,weaksubj,1,adj,n,positive
basically,weaksubj,1,anypos,n,neutral
bask,weaksubj,1,verb,y,positive
bastard,strongsubj,1,anypos,y,negative
bastard,strongsubj,1,noun,n,negative
batons,weaksubj,1,adj,n,neutral
batons,weaksubj,1,noun,n,neutral
battered,weaksubj,1,adj,n,negative
battering,weaksubj,1,adj,n,negative
battering,weaksubj,1,noun,n,negative
battle,weaksubj,1,verb,y,negative
battle,strongsubj,1,lines,adj,n negative
battle,strongsubj,1,lines,noun,n negative
battlefield,weaksubj,1,noun,n,negative
battleground,strongsubj,1,adj,n,negative
battleground,strongsubj,1,noun,n,negative
batty,strongsubj,1,adj,n,negative
beacon,weaksubj,1,noun,n,positive
bearish,weaksubj,1,adj,n,negative
beast,strongsubj,1,adj,n,negative
beast,strongsubj,1,noun,n,negative
beastly,strongsubj,1,adj,n,negative
beatify,strongsubj,1,verb,y,positive
beauteous,strongsubj,1,adj,n,positive
beautiful,strongsubj,1,adj,n,positive
beautiful,strongsubj,1,anypos,y,positive
beautifully,strongsubj,1,anypos,n,positive
beautify,strongsubj,1,verb,y,positive
beauty,strongsubj,1,noun,n,positive
bedlam,strongsubj,1,noun,n,negative
bedlamite,strongsubj,1,noun,n,negative
befit,strongsubj,1,verb,y,positive
befitting,strongsubj,1,adj,n,positive
befoul,strongsubj,1,verb,y,negative
